company_name,client_name,email,mobile,source,remark,designation,address,category,state,city,pincode,website
AcmaCorp Solutions Pvt Ltd.,,nisha@acmacorp.in,,START-UP  INDIA,,,,,MAHARASHTRA,MUMBAI,,
ACQUIRIT COMMUNICATIONS PRIVATE LIMITED,, arpit@acquirit.in,,START-UP  INDIA,,,,,UTTAR PRADESH,JHANSI,,
Advanceelectronics solution,, advanceelectronicesolution@gmail.com,,START-UP  INDIA,,,,,TELENGANA,HYDERABAD,,
ADWAYGA PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KERELA,TRISUR,, https://www.adwayga.com
ADWAYGA PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KERELA,THRISSUR,, https://www.adwayga.com
AEROWING TELECOM PRIVATE LIMITED,,akilesh.pavithran@gmail.com,,START-UP  INDIA,,,,,MAHARASHTRA,MUMBAI,,
ALLCONNECT NETWORK SERVICES PRIVATE LIMITED,,admin@acns.in,,START-UP  INDIA,,,,,KARNATAKA,VIJAYAPUR,,
ALPHA MAX TECHNOLOGIES PRIVATE LIMITED,,info@alphamax.co.in,91-124-4346000,START-UP  INDIA,,,,,,,, https://alphamax.co.in/
Alrahim Digital India Pvt Ltd,, shams2k7@gmail.com,,START-UP  INDIA,,,,,UTTAR PRADESH,KANPUR DEHAT,,
Astronet Tele-Services Pvt Ltd.,,info@astronets.com,9.20E+11,,,,,,MAHARASHTRA,PUNE,, https://www.astronets.com
BANARIA TECHNOLOGY PRIVATE LIMITED,,support@tofler.in,,START-UP  INDIA,,,,,DELHI, NORTH EAST DELHI,,
BONVOICE SOLUTIONS PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KERELA,ERNAKULAM,, www.bonvoice.com
BONVOICE SOLUTIONS PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KERELA,ERNAKLAM,, www.bonvoice.com
BRAVISHMAH INFOTECH PRIVATE LIMITED,, sunil.karmyogi@gmail.com,,START-UP  INDIA,,,,,JHARKHAND,RANCHI,,
COMMUNIFI TECHNOLOGIES LLP,, gaurav@communifi.in,,START-UP  INDIA,,,,,AHEMDABAD,GUJARAT,,
COMSEC INFOSOLUTIONS PRIVATE LIMITED,, shrikant@comsecinfo.com,,START-UP  INDIA,,,,,MAHARASHTRA,PUNE,,
cyver,, founder@cyver.xyz,,START-UP  INDIA,,,,,WEST BENGAL,ALIPURDUAR,,
D.C. TELETRONICS PRIVATE LIMITED,,, +91 9567 855 502,START-UP  INDIA,,,,,GUJARAT,VADODARA,, https://www.dcgroup.co.in/
D2P TECHNOLOGIES PRIVATE LIMITED,,  sales@bonvoice.com,,START-UP  INDIA,,,,,KARNATAKA,BANGALURU,,
DASHANAN INDUSTRIES PRIVATE LIMITED,, mritunjay0124@gmail.com,,START-UP  INDIA,,,,,BIHAR,PATNA,,
DEVICE TIMES SOLUTIONS LLP,, arshiya@dtimes.in,,START-UP  INDIA,,,,,KARNATAKA,BENGALURU URBAN,,
DEVVARDHAN INDIA PRIVATE LIMITED,, devvardhanindia@gmail.com,,START-UP  INDIA,,,,,UTTAR PRADESH,LUCKNOW,,
Dikssaa Enterprises,, dikssaa.enterprises@gmail.com,,START-UP  INDIA,,,,,MAHARASHTRA,DELHI,,
Doorsanchar STS Telecom Services Pvt Ltd,, dsts@doorsancharstspl.com,,START-UP  INDIA,,,,,SOUTH DDELHI,DELHI,,
DREAMCOM INFOSYS PRIVATE LIMITED,, Contact@drcom.in,,START-UP  INDIA,,,,,HARYANA,FARIDABAD,,
ENTRUES BUSINESS SERVICES INDIA PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KARNATAKA,BENGALURU URBAN,, https://entrues.com/
ENVENTION IT AND SECURITY SOLUTIONS PVT LTD,,info@enventionitandsecurity.com,8860503737,START-UP  INDIA,,,,,HARYANA,GURUGRAM,, www.enventionitandsecurity.com
ESPIRE INFRATECH PRIVATE LIMITED,, espireinfratech@gmail.com,,START-UP  INDIA,,,,,JAMMU AND KASHMIR,SHRINAGAR,,
EXACTEL CELLULAR PRIVATE LIMITED,,vikram@exactel.co.in,,START-UP  INDIA,,,,,JAMMU AND KASHMIR,,,
Fetch.in Pvt. Ltd.,,,,START-UP  INDIA,,,,,EAST DELHI,DELHI,,
Fetch.in Pvt. Ltd.,,,,START-UP  INDIA,,,,,MAHARASHTRA,NEW DELHI,, http://fetch.in/
Fire,,aktyagi95@gmail.com,,START-UP  INDIA,,,,,HIMACHAL PRADESH,KINNAUR,,
FORTUNA ENGI. TECH AND STRUCTURALS (INDIA) PVT.LTD,,sales@g2oelectronics.com,,START-UP  INDIA,,,,,TELENGANA,HYDERABAD,,
G2O ELECTRONIC (OPC) PRIVATE LIMITED,,,,START-UP  INDIA,,,,,TAMILNADU,VELLORE,, http://www.g2oelectronics.com/
GBPL GLOBAL BROADBAND PRIVATE LIMITED,, gbplbroadband@gmail.com,,START-UP  INDIA,,,,,WEST BENGAL,MURSHIDABAD,,
Improviza technologies private limited,, amardeep@improviza.com,,START-UP  INDIA,,,,,TAMILNADU,CHENNAI,,
IMPROVS,,abhishekborse5@gmail.com,,START-UP  INDIA,,,,,MAHARASHTRA,JALGAON,,
Informant Networks,, hitesh@informantnetworks.com,,START-UP  INDIA,,,,,KARNATAKA,BELAGAVI,,
INFYGAIN TECHNOLOGIES LLP,, infygain.com,,START-UP  INDIA,,,,,TAMILNADU,COIMBATORE,,
Jalakriti Engineering Private Limited,, kanishk.rai2@gmail.com,,START-UP  INDIA,,,,,UTTAR PRADESH,GAZIABAD,,
JANNET GLOBAL COMMUNICATIONS PRIVATE LIMITED,, jannetglobal@gmail.com,,START-UP  INDIA,,,,,TAMILNADU,CHENNAI,,
KARNET SOLUTIONS (OPC) PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KARNATAKA,TAMAKURU,,www.karnetbroadband.com
KARNET SOLUTIONS (OPC) PRIVATE LIMITED,,,,START-UP  INDIA,,,,,KARNATAKA,TUMAKURU,, www.karnetbroadband.com
Kwikzo Telecomm Pvt. Ltd.,,prateekwadhwa@kwikzo.co.in,,START-UP  INDIA,,,,,HARYANA,KARAL,,
Lifezee Electronic And Telecom Services Private Limited,,,,START-UP  INDIA,,,,,MAHARASHTRA,NAGPUR,,
M/S NET4 PLAYER BRODBAND,, RAJVEERS735@GMAIL.COM,,START-UP  INDIA,,,,,RAJASTHAN,HANUMANGARH,,
M/s Sonaraj Enterprises,,,,START-UP  INDIA,,,,,UTTAR PRADESH,AGRA,,
M/s Wellborn Group,, accounts@wellbornsoft.com,,START-UP  INDIA,,,,,UTTAR PRADESH,LUCKNOW,,
M2PY TECHNOLOGIES PRIVATE LIMITED,,,,,,,,,,,, www.m2pytechnologies.com
MADHAVI TELECOM SERVICES PRIVATE LIMITED,,,,START-UP  INDIA,,,,,MAHARASHTRA,PUNE,, http://www.madhavitelecom.com/
Moblien,,,,START-UP  INDIA,,,,,TELENGANA,HYDERABAD,,
Nav Prayukti Pvt Ltd,,,,START-UP  INDIA,,,,,ASSAM,GUAHATI,,
Nav Prayukti Pvt Ltd,,,,START-UP  INDIA,,,,,ASSAM,GUAHATI,,
PEER NETWORKS PRIVATE LIMITED,, faheem@peer.net.in,,START-UP  INDIA,,,,,JAMMU AND KASHMIR,SHRINAGAR,,
PORTERBEES,,,,START-UP  INDIA,,,,,TAMILNADU,CHENNAI,, www.porterbees.com
PRAMAN ICT SERVICES,,,,START-UP  INDIA,,,,,ASSAM,JORHAT,,
PYMATRICS TECHNOLOGY & SERVICES,, indrajeet.shukla@pymatrics.com,,START-UP  INDIA,,,,,NORTH EAST DELHI,DELHI,,
PYMATRICS TECHNOLOGY & SERVICES,,,,START-UP  INDIA,,,,,DELHI,NEW DELHI,, www.pymatrics.com
